"audit_id","when","who","entity","participant_id","detail"
"A0000001",2024-03-30 21:03:14.609338,"staff003","form","P0008","Updated form F443720116: status set to 'complete', accuracy re-scored."
"A0000002",2024-06-27 18:39:14.202694,"staff020","timeseries","P0023","Time series correction applied: interpolated missing HR, removed 3 outliers."
"A0000003",2024-05-26 02:18:39.883955,"staff009","form","P0085","Updated form F253441296: status set to 'complete', accuracy re-scored."
"A0000004",2024-05-18 05:58:38.892789,"staff036","timeseries","P0062","Time series correction applied: interpolated missing HR, removed 3 outliers."
"A0000005",2024-03-29 21:48:06.756796,"staff046","timeseries","P0034","Time series correction applied: interpolated missing HR, removed 3 outliers."
"A0000006",2024-03-11 10:57:47.280811,"staff050","form","P0069","Updated form F416513556: status set to 'complete', accuracy re-scored."
"A0000007",2024-04-05 15:25:39.675629,"staff003","form","P0075","Updated form F124085762: status set to 'complete', accuracy re-scored."
"A0000008",2024-05-05 02:09:29.337273,"staff012","timeseries","P0030","Time series correction applied: interpolated missing HR, removed 3 outliers."
"A0000009",2024-06-02 17:16:01.709154,"staff058","form","P0019","Updated form F339654401: status set to 'complete', accuracy re-scored."
"A0000010",2024-04-02 15:54:13.009486,"staff019","form","P0055","Updated form F736318737: status set to 'complete', accuracy re-scored."
"A0000011",2024-04-08 02:27:19.918309,"staff025","timeseries","P0018","Time series correction applied: interpolated missing HR, removed 5 outliers."
"A0000012",2024-06-22 18:14:43.730686,"staff043","form","P0095","Updated form F391751022: status set to 'complete', accuracy re-scored."
"A0000013",2024-04-28 20:56:12.692817,"staff030","timeseries","P0010","Time series correction applied: interpolated missing HR, removed 2 outliers."
"A0000014",2024-06-25 19:07:20.197814,"staff016","form","P0089","Updated form F677442938: status set to 'complete', accuracy re-scored."
"A0000015",2024-06-10 13:11:35.726985,"staff040","form","P0079","Updated form F518208817: status set to 'complete', accuracy re-scored."
"A0000016",2024-06-26 14:27:08.74251,"staff047","timeseries","P0068","Time series correction applied: interpolated missing HR, removed 2 outliers."
"A0000017",2024-03-14 17:17:24.843686,"staff018","form","P0070","Updated form F571545036: status set to 'complete', accuracy re-scored."
"A0000018",2024-04-07 17:16:00.324651,"staff060","form","P0045","Updated form F377918610: status set to 'complete', accuracy re-scored."
"A0000019",2024-06-22 09:40:08.349574,"staff025","form","P0098","Updated form F718378380: status set to 'complete', accuracy re-scored."
"A0000020",2024-05-17 00:38:57.382185,"staff039","timeseries","P0040","Time series correction applied: interpolated missing HR, removed 5 outliers."
"A0000021",2024-06-26 13:44:07.48916,"staff034","timeseries","P0099","Time series correction applied: interpolated missing HR, removed 3 outliers."
"A0000022",2024-06-25 16:23:40.49489,"staff049","timeseries","P0035","Time series correction applied: interpolated missing HR, removed 2 outliers."
"A0000023",2024-05-27 16:59:16.103987,"staff044","timeseries","P0036","Time series correction applied: interpolated missing HR, removed 2 outliers."
"A0000024",2024-04-17 01:30:26.613468,"staff053","timeseries","P0060","Time series correction applied: interpolated missing HR, removed 3 outliers."
"A0000025",2024-05-19 15:46:17.86839,"GradAnalyst2","timeseries","P0074","Time series correction applied: interpolated missing HR, removed 4 outliers."
"A0000026",2024-03-31 21:49:44.660268,"staff025","timeseries","P0067","Time series correction applied: interpolated missing HR, removed 3 outliers."
"A0000027",2024-04-07 05:13:10.527302,"staff043","form","P0054","Updated form F142915790: status set to 'complete', accuracy re-scored."
"A0000028",2024-06-09 21:30:51.772428,"DataCoordinator","form","P0051","Updated form F547874384: status set to 'complete', accuracy re-scored."
"A0000029",2024-05-22 15:13:35.826166,"staff029","form","P0064","Updated form F354172217: status set to 'complete', accuracy re-scored."
"A0000030",2024-06-02 00:48:16.203214,"PI","form","P0018","Updated form F586114171: status set to 'complete', accuracy re-scored."
