"participant_id","date","n_points","missing_any","outliers","low_battery_cnt","pct_missing","qc_flag"
"P0001",2024-01-07,2,0,0,0,0,0
"P0001",2024-01-08,288,9,NA,0,3.12,NA
"P0001",2024-01-09,288,8,NA,0,2.78,NA
"P0001",2024-01-10,288,7,NA,0,2.43,NA
"P0001",2024-01-11,288,7,NA,0,2.43,NA
"P0001",2024-01-12,288,2,NA,0,0.69,NA
"P0001",2024-01-13,288,8,NA,0,2.78,NA
"P0001",2024-01-14,288,6,NA,0,2.08,NA
"P0001",2024-01-15,288,11,NA,0,3.82,NA
"P0001",2024-01-16,288,8,NA,0,2.78,NA
"P0001",2024-01-17,288,5,NA,0,1.74,NA
"P0001",2024-01-18,288,9,NA,0,3.12,NA
"P0001",2024-01-19,288,9,NA,0,3.12,NA
"P0001",2024-01-20,288,13,NA,0,4.51,NA
"P0001",2024-01-21,288,3,NA,0,1.04,NA
"P0001",2024-01-22,288,5,NA,0,1.74,NA
"P0001",2024-01-23,288,8,NA,0,2.78,NA
"P0001",2024-01-24,288,10,NA,0,3.47,NA
"P0001",2024-01-25,288,8,NA,0,2.78,NA
"P0001",2024-01-26,288,4,NA,0,1.39,NA
"P0001",2024-01-27,288,7,NA,0,2.43,NA
"P0001",2024-01-28,288,6,NA,0,2.08,NA
"P0001",2024-01-29,288,10,NA,0,3.47,NA
"P0001",2024-01-30,288,5,NA,0,1.74,NA
"P0001",2024-01-31,288,10,NA,0,3.47,NA
"P0001",2024-02-01,288,8,NA,0,2.78,NA
"P0001",2024-02-02,288,10,NA,0,3.47,NA
"P0001",2024-02-03,288,4,NA,0,1.39,NA
"P0001",2024-02-04,288,9,NA,0,3.12,NA
"P0001",2024-02-05,288,6,NA,0,2.08,NA
"P0001",2024-02-06,288,3,NA,0,1.04,NA
"P0001",2024-02-07,288,13,NA,0,4.51,NA
"P0001",2024-02-08,288,7,NA,0,2.43,NA
"P0001",2024-02-09,288,8,NA,0,2.78,NA
"P0001",2024-02-10,288,2,NA,0,0.69,NA
"P0001",2024-02-11,288,4,NA,0,1.39,NA
"P0001",2024-02-12,288,13,NA,0,4.51,NA
"P0001",2024-02-13,288,3,NA,0,1.04,NA
"P0001",2024-02-14,288,4,NA,0,1.39,NA
"P0001",2024-02-15,288,10,NA,0,3.47,NA
"P0001",2024-02-16,288,6,NA,0,2.08,NA
"P0001",2024-02-17,288,4,NA,0,1.39,NA
"P0001",2024-02-18,288,9,NA,0,3.12,NA
"P0001",2024-02-19,288,9,NA,0,3.12,NA
"P0001",2024-02-20,288,7,NA,0,2.43,NA
"P0001",2024-02-21,288,9,NA,0,3.12,NA
"P0001",2024-02-22,288,1,NA,0,0.35,NA
"P0001",2024-02-23,288,4,NA,0,1.39,NA
"P0001",2024-02-24,288,12,NA,0,4.17,NA
"P0001",2024-02-25,288,9,NA,0,3.12,NA
"P0001",2024-02-26,288,13,NA,0,4.51,NA
"P0001",2024-02-27,288,7,NA,0,2.43,NA
"P0001",2024-02-28,288,5,NA,0,1.74,NA
"P0001",2024-02-29,288,8,NA,0,2.78,NA
"P0001",2024-03-01,288,7,NA,0,2.43,NA
"P0001",2024-03-02,288,2,NA,0,0.69,NA
"P0001",2024-03-03,158,6,NA,0,3.8,NA
"P0002",2024-04-11,217,7,NA,0,3.23,NA
"P0002",2024-04-12,288,6,NA,0,2.08,NA
"P0002",2024-04-13,288,4,NA,0,1.39,NA
"P0002",2024-04-14,288,4,NA,0,1.39,NA
"P0002",2024-04-15,288,7,NA,0,2.43,NA
"P0002",2024-04-16,288,7,NA,0,2.43,NA
"P0002",2024-04-17,288,14,NA,0,4.86,NA
"P0002",2024-04-18,288,4,NA,0,1.39,NA
"P0002",2024-04-19,288,8,NA,0,2.78,NA
"P0002",2024-04-20,288,6,NA,0,2.08,NA
"P0002",2024-04-21,288,7,NA,0,2.43,NA
"P0002",2024-04-22,288,8,NA,0,2.78,NA
"P0002",2024-04-23,288,11,NA,0,3.82,NA
"P0002",2024-04-24,288,5,NA,0,1.74,NA
"P0002",2024-04-25,288,5,NA,0,1.74,NA
"P0002",2024-04-26,288,6,NA,0,2.08,NA
"P0002",2024-04-27,288,5,NA,0,1.74,NA
"P0002",2024-04-28,288,7,NA,0,2.43,NA
"P0002",2024-04-29,288,9,NA,0,3.12,NA
"P0002",2024-04-30,288,7,NA,0,2.43,NA
"P0002",2024-05-01,288,8,NA,0,2.78,NA
"P0002",2024-05-02,288,8,NA,0,2.78,NA
"P0002",2024-05-03,288,3,NA,0,1.04,NA
"P0002",2024-05-04,288,5,NA,0,1.74,NA
"P0002",2024-05-05,288,2,NA,0,0.69,NA
"P0002",2024-05-06,288,2,NA,0,0.69,NA
"P0002",2024-05-07,288,12,NA,0,4.17,NA
"P0002",2024-05-08,288,5,NA,0,1.74,NA
"P0002",2024-05-09,288,11,NA,0,3.82,NA
"P0002",2024-05-10,288,7,NA,0,2.43,NA
"P0002",2024-05-11,288,7,NA,0,2.43,NA
"P0002",2024-05-12,288,2,NA,0,0.69,NA
"P0002",2024-05-13,288,9,NA,0,3.12,NA
"P0002",2024-05-14,288,3,NA,0,1.04,NA
"P0002",2024-05-15,288,9,NA,0,3.12,NA
"P0002",2024-05-16,288,9,NA,0,3.12,NA
"P0002",2024-05-17,288,13,NA,0,4.51,NA
"P0002",2024-05-18,288,6,NA,0,2.08,NA
"P0002",2024-05-19,288,12,NA,0,4.17,NA
"P0002",2024-05-20,288,6,NA,0,2.08,NA
"P0002",2024-05-21,288,9,NA,0,3.12,NA
"P0002",2024-05-22,288,9,NA,0,3.12,NA
"P0002",2024-05-23,288,9,NA,0,3.12,NA
"P0002",2024-05-24,288,5,NA,0,1.74,NA
"P0002",2024-05-25,288,5,NA,0,1.74,NA
"P0002",2024-05-26,288,5,NA,0,1.74,NA
"P0002",2024-05-27,288,4,NA,0,1.39,NA
"P0002",2024-05-28,288,12,NA,0,4.17,NA
"P0002",2024-05-29,288,13,NA,0,4.51,NA
"P0002",2024-05-30,288,5,NA,0,1.74,NA
"P0002",2024-05-31,288,12,NA,0,4.17,NA
"P0002",2024-06-01,288,11,NA,0,3.82,NA
"P0002",2024-06-02,288,6,NA,0,2.08,NA
"P0002",2024-06-03,288,6,NA,0,2.08,NA
"P0002",2024-06-04,288,8,NA,0,2.78,NA
"P0002",2024-06-05,231,7,NA,0,3.03,NA
"P0003",2024-04-25,141,2,NA,0,1.42,NA
"P0003",2024-04-26,288,3,NA,0,1.04,NA
"P0003",2024-04-27,288,6,NA,0,2.08,NA
"P0003",2024-04-28,288,6,NA,0,2.08,NA
"P0003",2024-04-29,288,5,NA,0,1.74,NA
"P0003",2024-04-30,288,4,NA,0,1.39,NA
"P0003",2024-05-01,288,5,NA,0,1.74,NA
"P0003",2024-05-02,288,5,NA,0,1.74,NA
"P0003",2024-05-03,288,7,NA,0,2.43,NA
"P0003",2024-05-04,288,4,NA,0,1.39,NA
"P0003",2024-05-05,288,13,NA,0,4.51,NA
"P0003",2024-05-06,288,7,NA,0,2.43,NA
"P0003",2024-05-07,288,6,NA,0,2.08,NA
"P0003",2024-05-08,288,13,NA,0,4.51,NA
"P0003",2024-05-09,288,10,NA,0,3.47,NA
"P0003",2024-05-10,288,6,NA,0,2.08,NA
"P0003",2024-05-11,288,6,NA,0,2.08,NA
"P0003",2024-05-12,288,5,NA,0,1.74,NA
"P0003",2024-05-13,288,3,NA,0,1.04,NA
"P0003",2024-05-14,288,6,NA,0,2.08,NA
"P0003",2024-05-15,288,8,NA,0,2.78,NA
"P0003",2024-05-16,288,13,NA,0,4.51,NA
"P0003",2024-05-17,288,9,NA,0,3.12,NA
